the+lion+king+1994,FALSE,"Family, Animation, Drama",89,8,English
out+to+sea+1997,FALSE,"Comedy, Romance",106,5.8,English
for+me+and+my+gal+1942,FALSE,"Drama, Music, Romance",104,6.2,"English, Français"
drugstore+cowboy+1989,FALSE,"Crime, Drama",100,7,English
to+be+or+not+to+be+1942,FALSE,"Comedy, War",99,7.7,English
deep+blue+sea+1999,FALSE,"Action, Science Fiction, Thriller",105,5.6,English
empire+falls+2005,FALSE,"Drama, Romance",197,6.4,English
the+lion+in+winter+1968,FALSE,"Drama, History",134,7.6,English
tigrero+a+film+that+was+never+made+1994,FALSE,"Documentary, Foreign",75,7.5,"English, Português"
the+war+2007,FALSE,"Documentary, History, War",874,5.3,English
the+baytown+outlaws+2012,FALSE,"Action, Comedy, Crime",98,5.9,"Español, English"
judy+moody+and+the+not+bummer+summer+2011,FALSE,"Comedy, Family",91,5.1,English
inception+2010,FALSE,"Action, Thriller, Science Fiction, Mystery, Adventure",148,8.1,English
the+good_+the+bad+and+the+ugly+1966,FALSE,Western,161,8.1,Italiano
pitch+black+2000,FALSE,"Thriller, Science Fiction, Action",108,6.7,English
breaking+away+1979,FALSE,"Drama, Comedy",100,7.4,English
blade+runner+1982,FALSE,"Science Fiction, Drama, Thriller",117,7.9,"English, Deutsch, 广州话 / 廣州話, 日本語, Magyar"
the+curiosity+of+chance+2006,FALSE,Comedy,98,5.8,English
the+time+machine+1960,FALSE,"Thriller, Adventure, Fantasy, Science Fiction, Romance",103,7.5,English
mr.+nobody+2009,FALSE,"Science Fiction, Drama, Romance, Fantasy",156,7.9,English
girls+just+want+to+have+fun+1985,FALSE,"Comedy, Family, Music, Romance",87,6.5,English
iron+man+2008,FALSE,"Action, Science Fiction, Adventure",126,7.4,"English, فارسی, اردو, العربية"
akira+1988,FALSE,"Science Fiction, Animation",124,7.8,日本語
outside+the+law+2002,FALSE,"Action, Thriller",90,3.1,English
begin+again+2013,FALSE,"Comedy, Music, Romance, Drama",104,7.3,English
the+phantom+lover+1995,FALSE,,100,6.8,"广州话 / 廣州話, 普通话"
dark+days+2000,FALSE,Documentary,82,7.7,English
titanic+town+1998,FALSE,Drama,100,0,English
war+and+peace+1966,FALSE,"War, Drama, History, Romance",422,7.5,"Français, Deutsch, Magyar, Pусский"
about+time+2013,FALSE,"Comedy, Drama, Science Fiction",123,7.8,English
white+men+cant+jump+1992,FALSE,"Comedy, Drama",115,6.2,English
dirty+dancing+1987,FALSE,"Drama, Music, Romance",100,7.1,English
carnival+in+flanders+1935,FALSE,"Comedy, Drama, History",110,6.2,Français
skidoo+1968,FALSE,Comedy,97,4.8,English
se7en+1995,FALSE,"Crime, Mystery, Thriller",127,8.1,English
dave+1993,FALSE,Comedy,110,6.3,English
north+west+mounted+police+1940,FALSE,"Adventure, Drama, History, Romance, Western",126,6.1,English
the+hangover+2009,FALSE,Comedy,100,7.2,English
balkan+spy+1984,FALSE,"Drama, Comedy",92,7.4,Srpski
the+dirty+dozen+the+deadly+mission+1987,FALSE,"War, Action",90,4,English
from+russia+with+love+1963,FALSE,"Action, Thriller, Adventure",115,6.9,"English, Pусский, Türkçe, Română"
shrek+2+2004,FALSE,"Adventure, Animation, Comedy, Family, Fantasy",93,6.7,English
common+wealth+2000,FALSE,"Comedy, Horror",105,6.9,Español
wreck-it+ralph+2012,FALSE,"Family, Animation, Comedy, Adventure",108,7.1,English
pee-wees+big+adventure+1985,FALSE,"Adventure, Comedy",90,6.6,English
whisper+of+the+heart+1995,FALSE,"Animation, Drama, Family",111,7.7,"日本語, Español"
law+abiding+citizen+2009,FALSE,"Drama, Crime, Thriller",109,7.2,English
mike+tyson+undisputed+truth+2013,FALSE,Comedy,90,6.7,English
song+of+the+thin+man+1947,FALSE,"Comedy, Crime, Drama, Mystery, Thriller",86,6.6,English
ironclad+2011,FALSE,"Romance, Adventure, Action, History",121,6.2,"Dansk, English, Magyar, Latin"
treasure+island+1990,FALSE,"Adventure, Family",131,5.6,English
conviction+2010,FALSE,Drama,107,7,English
avatar+2009,FALSE,"Action, Adventure, Fantasy, Science Fiction",162,7.2,"English, Español"
ragtime+1981,FALSE,Drama,155,6.7,English
monster+2008,FALSE,"Action, Horror, Science Fiction",86,1.7,English
if+only+2004,FALSE,"Fantasy, Drama, Romance",92,6.5,English
the+mother+and+the+whore+1973,FALSE,"Drama, Romance",217,8,Français
white+christmas+1954,FALSE,"Comedy, Music, Romance",120,6.9,"English, Português"
the+secret+life+of+walter+mitty+2013,FALSE,"Adventure, Comedy, Drama, Fantasy",114,7,English
bringing+up+bobby+2011,FALSE,Comedy,95,5.1,English
cloak++dagger+1984,FALSE,"Adventure, Action, Family",101,6.2,English
halloweentown+high+2004,FALSE,"Adventure, Comedy, Family, Fantasy, TV Movie",82,5.9,English
batman+vs+dracula+2005,FALSE,"Fantasy, Animation, Horror, Action, Thriller, Science Fiction",83,6.5,"English, Français"
otaku+1994,FALSE,"Documentary, History",77,6,"日本語, Français"
fallen+1998,FALSE,"Thriller, Fantasy, Crime, Drama",124,6.6,English
october+sky+1999,FALSE,"Drama, Family",108,7.4,English
atonement+2007,FALSE,"Drama, Romance",123,7.4,"English, Français"
back+to+the+future+1985,FALSE,"Adventure, Comedy, Science Fiction, Family",116,8,English
yi+yi+2000,FALSE,"Drama, Romance",173,7.7,"English, 日本語, 普通话"
high+art+1998,FALSE,"Drama, Romance",101,6.3,English
brooklyn+bridge+1982,FALSE,"Documentary, History",58,6,English
fresh+1994,FALSE,"Crime, Drama, Thriller",114,7.6,English
rainy+dog+1997,FALSE,"Crime, Action, Drama",95,7,"日本語, 普通话"
the+great+debaters+2007,FALSE,Drama,126,6.9,English
tyson+2008,FALSE,"Documentary, Drama",90,6.6,English
seeking+a+friend+for+the+end+of+the+world+2012,FALSE,"Comedy, Drama, Romance, Science Fiction",101,6.3,English
one+hundred+men+and+a+girl+1937,FALSE,Comedy,84,4.9,English
monsters_+inc.+2001,FALSE,"Animation, Comedy, Family",92,7.5,English
the+three+musketeers+1973,FALSE,"Action, Adventure, Comedy, Drama",105,6.8,English
spider-man+2002,FALSE,"Fantasy, Action",121,6.8,English
the+10th+kingdom+2000,FALSE,"Adventure, Comedy, Family, Fantasy, Mystery, Romance",417,7.5,"English, Français, Deutsch"
her+2013,FALSE,"Romance, Science Fiction, Drama",126,7.9,English
sympathy+for+lady+vengeance+2005,FALSE,"Drama, Thriller",115,7.4,"English, 日本語, 한국어/조선말"
the+longest+day+1962,FALSE,"Action, Drama, History, War",178,7.3,"English, Français, Deutsch"
sal_+or+the+120+days+of+sodom+1975,FALSE,"History, War, Drama, Horror",116,6.4,"Deutsch, Français, Italiano"
evil+roy+slade+1972,FALSE,"TV Movie, Western, Comedy",97,5.9,English
shrink+2009,FALSE,"Comedy, Drama",104,6.1,English
child+of+god+2014,FALSE,"Crime, Drama, Thriller",104,5.4,English
call+her+savage+1932,FALSE,Drama,88,3.5,English
zack+and+miri+make+a+porno+2008,FALSE,Comedy,102,6.1,English
the+gatekeepers+2012,FALSE,Documentary,101,6.5,"English, עִבְרִית"
paparazzi+2004,FALSE,"Action, Drama, Thriller",84,5.8,"English, Español"
sir+arnes+treasure+1919,FALSE,"History, Drama",106,6.7,svenska
galaxy+express+999+1979,FALSE,"Adventure, Animation, Science Fiction",128,6.2,日本語
diner+1982,FALSE,"Comedy, Drama",110,6.9,English
instructions+not+included+2013,FALSE,"Comedy, Drama",115,7.5,"Español, English"
turn+me+on_+dammit+2011,FALSE,"Drama, Comedy",76,6.4,"English, Norsk"
rare+exports+a+christmas+tale+2010,FALSE,Fantasy,84,6.4,"English, suomi"
the+desert+fox+the+story+of+rommel+1951,FALSE,"Action, Drama, History, War",88,6.4,"Český, English, Deutsch"
x-men+days+of+future+past+2014,FALSE,"Action, Adventure, Fantasy, Science Fiction",131,7.5,English
